name,link,severity,package,version,fixedBy
CVE-2025-6069,https://avd.aquasec.com/nvd/cve-2025-6069,MEDIUM,libpython3.13-stdlib,3.13.5-2,
CVE-2025-6075,https://avd.aquasec.com/nvd/cve-2025-6075,MEDIUM,libpython3.13-stdlib,3.13.5-2,
CVE-2025-8291,https://avd.aquasec.com/nvd/cve-2025-8291,MEDIUM,libpython3.13-stdlib,3.13.5-2,
CVE-2026-0672,https://avd.aquasec.com/nvd/cve-2026-0672,MEDIUM,libpython3.13-stdlib,3.13.5-2,
CVE-2026-0865,https://avd.aquasec.com/nvd/cve-2026-0865,MEDIUM,libpython3.13-stdlib,3.13.5-2,
CVE-2025-14104,https://avd.aquasec.com/nvd/cve-2025-14104,MEDIUM,libsmartcols1,2.41-5,
CVE-2025-7709,https://avd.aquasec.com/nvd/cve-2025-7709,MEDIUM,libsqlite3-0,3.46.1-7,
CVE-2025-11187,https://avd.aquasec.com/nvd/cve-2025-11187,MEDIUM,libssl3t64,3.5.4-1~deb13u1,3.5.4-1~deb13u2
CVE-2025-15468,https://avd.aquasec.com/nvd/cve-2025-15468,MEDIUM,libssl3t64,3.5.4-1~deb13u1,3.5.4-1~deb13u2
CVE-2025-15469,https://avd.aquasec.com/nvd/cve-2025-15469,MEDIUM,libssl3t64,3.5.4-1~deb13u1,3.5.4-1~deb13u2
CVE-2025-66199,https://avd.aquasec.com/nvd/cve-2025-66199,MEDIUM,libssl3t64,3.5.4-1~deb13u1,3.5.4-1~deb13u2
CVE-2025-68160,https://avd.aquasec.com/nvd/cve-2025-68160,MEDIUM,libssl3t64,3.5.4-1~deb13u1,3.5.4-1~deb13u2
CVE-2025-69418,https://avd.aquasec.com/nvd/cve-2025-69418,MEDIUM,libssl3t64,3.5.4-1~deb13u1,3.5.4-1~deb13u2
